GPU Name,Price (per hour),Download Speed (Mbps),CPU Details,RAM,Storage
5x NVIDIA H100 SXM5 80GB,3.08,10000,142x Intel Xeon Platinum 8470,624 GB RAM,3050 GB NVMe SSD
2x NVIDIA H100 SXM5 80GB,3.08,10000,76x Intel Xeon Platinum 8470,320 GB RAM,5128 GB NVMe SSD
2x NVIDIA H100 SXM5 80GB,3.09,10000,44x Intel Xeon Platinum 8470,282 GB RAM,3486 GB NVMe SSD
2x NVIDIA H100 SXM5 80GB,3.13,10000,60x Intel Xeon Platinum 8470,322 GB RAM,6320 GB NVMe SSD
7x NVIDIA H100 SXM5 80GB,3.22,10000,186x Intel Xeon Platinum 8470,825 GB RAM,74 GB NVMe SSD
4x NVIDIA H100 SXM5 80GB,3.25,10000,120x Intel Xeon Platinum 8470,526 GB RAM,7500 GB NVMe SSD
3x NVIDIA H100 SXM5 80GB,3.31,10000,45x Intel Xeon Platinum 8470,301 GB RAM,2316 GB NVMe SSD
7x NVIDIA H100 SXM5 80GB,3.31,10000,128x Intel Xeon Platinum 8470,706 GB RAM,4334 GB NVMe SSD
6x NVIDIA H100 SXM5 80GB,3.31,10000,146x Intel Xeon Platinum 8470,630 GB RAM,5450 GB NVMe SSD
6x NVIDIA H100 SXM5 80GB,3.31,10000,188x Intel Xeon Platinum 8470,866 GB RAM,9234 GB NVMe SSD
1x NVIDIA H100 SXM5 80GB,3.31,10000,8x Intel Xeon Platinum 8470,76 GB RAM,8910 GB NVMe SSD
3x NVIDIA H100 SXM5 80GB,3.31,10000,58x Intel Xeon Platinum 8470,428 GB RAM,460 GB NVMe SSD
6x NVIDIA RTX A6000 48GB,0.54,1000,40x AMD EPYC 7343,415 GB RAM,2550 GB NVMe SSD
3x NVIDIA RTX A6000 48GB,0.54,1000,52x Intel Xeon Gold 6238R,550 GB RAM,40 GB NVMe SSD
7x NVIDIA RTX A6000 48GB,0.54,1000,32x AMD EPYC 7343,338 GB RAM,2240 GB NVMe SSD
3x NVIDIA RTX A6000 48GB,0.54,1000,6x AMD EPYC 7343,186 GB RAM,1870 GB NVMe SSD
1x NVIDIA RTX A6000 48GB,0.54,1000,30x AMD EPYC 7402P,84 GB RAM,40 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.41,1000,8x AMD Ryzen 7 5700X,28 GB RAM,50 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.41,1000,4x AMD Ryzen 7 5700X,38 GB RAM,675 GB NVMe SSD
2x NVIDIA GeForce RTX 4090 24GB,0.42,1000,8x AMD Ryzen Threadripper PRO 3955WX,98 GB RAM,998 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.42,1000,12x Intel Core i5-11400,24 GB RAM,170 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.42,1000,8x AMD Ryzen Threadripper PRO 3955WX,6 GB RAM,505 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.42,10000,110x AMD EPYC 7713,328 GB RAM,32 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.42,10000,76x AMD EPYC 7J13,376 GB RAM,100 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.44,1000,16x AMD Ryzen 7 5700G,21 GB RAM,600 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.48,1000,8x AMD Ryzen 7 5800X,22 GB RAM,1500 GB NVMe SSD
3x NVIDIA GeForce RTX 4090 24GB,0.51,10000,64x AMD EPYC 7B13,336 GB RAM,400 GB NVMe SSD
5x NVIDIA GeForce RTX 4090 24GB,0.51,10000,104x AMD EPYC 7B13,374 GB RAM,560 GB NVMe SSD
2x NVIDIA GeForce RTX 4090 24GB,0.51,10000,116x AMD EPYC 7B13,194 GB RAM,3160 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.51,10000,16x AMD EPYC 7B13,58 GB RAM,800 GB NVMe SSD
4x NVIDIA GeForce RTX 4090 24GB,0.51,10000,10x AMD EPYC 75F3,176 GB RAM,3434 GB NVMe SSD
4x NVIDIA GeForce RTX 4090 24GB,0.51,10000,68x AMD EPYC 7B13,286 GB RAM,1150 GB NVMe SSD
2x NVIDIA GeForce RTX 4090 24GB,0.51,10000,104x AMD EPYC 7B13,82 GB RAM,2800 GB NVMe SSD
1x NVIDIA GeForce RTX 4090 24GB,0.54,1000,16x AMD Ryzen Threadripper PRO 5975WX,166 GB RAM,1050 GB NVMe SSD
4x NVIDIA GeForce RTX 4090 24GB,0.58,10000,60x AMD EPYC 7K62,153 GB RAM,5650 GB NVMe SSD
2x NVIDIA GeForce RTX 4090 24GB,0.59,1000,110x AMD Ryzen Threadripper PRO 3995WX,77 GB RAM,2726 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.22,1000,64x AMD Ryzen Threadripper 7970X,99 GB RAM,472 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.22,1000,28x AMD EPYC 7282,34 GB RAM,1240 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.23,100,12x Intel Core i7-11700K,38 GB RAM,24 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.23,100,14x Intel Core i7-11700K,30 GB RAM,350 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.23,100,64x AMD EPYC 7742,116 GB RAM,548 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.23,100,4x Intel Core i7-11700K,45 GB RAM,560 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.23,1000,28x AMD EPYC 7282,98 GB RAM,896 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.23,1000,8x AMD Ryzen 9 5900X,26 GB RAM,174 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,10000,30x Intel Xeon CPU E5-2660 v4,91 GB RAM,924 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,13x AMD EPYC 7282,16 GB RAM,320 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,12x AMD Ryzen 5 5600X,24 GB RAM,650 GB NVMe SSD
2x NVIDIA GeForce RTX 3090 24GB,0.24,1000,24x AMD EPYC 7551P,45 GB RAM,392 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,56x AMD EPYC 7551P,96 GB RAM,957 GB NVMe SSD
3x NVIDIA GeForce RTX 3090 24GB,0.24,1000,64x AMD EPYC 7551P,119 GB RAM,2880 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,32x Intel Xeon E5-2687W v3,82 GB RAM,2334 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,56x AMD EPYC 7551P,102 GB RAM,100 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.24,1000,54x AMD EPYC 7551P,39 GB RAM,2154 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,12x AMD Ryzen 5 5600X,24 GB RAM,650 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,48x AMD EPYC 7551P,84 GB RAM,125 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,12x AMD Ryzen 5 5600X,24 GB RAM,650 GB NVMe SSD
1x NVIDIA GeForce RTX 3090 24GB,0.25,1000,56x AMD EPYC 7551P,63 GB RAM,562 GB NVMe SSD
